date,time,open,high,low,close
20150416,0,3100,3288.2,3088.8,3283.8
20150417,0,3303.6,3341.6,3238,3254
20150420,0,3258,3315,3143.6,3146.8
20150421,0,3176.8,3242.2,3153,3234
20150422,0,3250,3333.2,3229.8,3308
20150423,0,3318.6,3348.2,3253.4,3267.8
20150424,0,3248.8,3267.8,3170,3233
20150427,0,3260,3358,3257.8,3357.6
20150428,0,3339,3376,3265,3286.8
20150429,0,3282,3325.6,3261,3295.2
20150430,0,3315.2,3331.2,3247.2,3269.4
20150504,0,3295.8,3301.8,3225.8,3273.2
20150505,0,3279.6,3281.6,3141.2,3163
20150506,0,3171.2,3257.4,3116,3153
20150507,0,3159.6,3170,3103,3111.2
20150508,0,3131,3149,3051.2,3099.8
20150511,0,3112,3170.4,3078,3160
20150512,0,3151,3194.6,3138,3175
20150513,0,3200,3204.8,3112.4,3125.4
20150514,0,3131.2,3158.4,3108,3129.4
20150515,0,3131.20925,3145.884281,3036.525149,3057.029987
20150518,0,3049.189902,3064.669043,2977.221944,2984.659973
20150519,0,2988.680529,3161.765478,2986.469223,3159.152117
20150520,0,3179.254898,3233.532408,3118.142442,3161.363423
20150521,0,3173.224064,3216.646072,3155.935672,3207.800848
20150522,0,3216.445044,3327.010342,3210.41421,3319.974369
20150525,0,3315.551757,3453.054783,3296.85617,3431.142751
20150526,0,3443.606475,3475.770926,3395.158772,3435.364335
20150527,0,3471.549342,3525.02274,3369.025156,3414.256414
20150528,0,3429.132473,3436.570502,3137.240085,3180.863121
20150529,0,3195.739179,3211.218321,3076.328657,3134.626723
20150601,0,3115.931136,3357.56657,3102.462273,3353.143958
20150602,0,3357.164515,3366.411794,3236.949881,3312.53634
20150603,0,3313.541479,3353.143958,3226.697463,3261.475275
20150604,0,3275.547222,3413.251275,3036.726177,3390.535132
20150605,0,3386.313548,3443.807503,3219.460461,3321.783619
20150608,0,3332.036038,3561.207747,3301.881865,3553.166635
20150609,0,3557.388219,3583.320807,3402.395773,3433.354057
20150610,0,3416.46772,3463.508229,3368.422072,3382.292992
20150611,0,3399.179328,3432.549945,3343.695651,3378.272435
20150612,0,3390.535132,3425.513972,3347.113124,3422.699582
20150615,0,3413.050247,3434.962279,3263.284525,3280.572917
20150616,0,3281.578056,3309.922978,3169.404535,3209.811126
20150617,0,3247.604355,3250.217717,3171.414813,3221.872795
20150618,0,3216.445044,3221.470739,3081.55538,3101.256106
20150619,0,3097.458976,3104.453689,2801.882369,2857.840077
20150623,0,2886.418478,3036.505044,2815.871796,2980.347487
20150624,0,2996.535253,3055.690544,2962.760779,3041.900966
20150625,0,3077.673929,3095.060788,2904.404884,2916.995368
20150626,0,2903.805337,2966.557909,2664.186438,2687.968464
20150629,0,2787.892942,2834.058051,2471.132346,2652.795048
20150630,0,2713.149432,2884.02029,2629.212871,2845.649291
20150701,0,2844.849895,2876.026332,2627.614079,2694.163782
20150702,0,2742.727078,2812.274515,2603.032657,2738.330401
20150703,0,2722.942031,2757.915599,2516.498059,2594.039454
20150706,0,2847.847629,2867.832525,2631.011511,2754.718015
20150707,0,2734.932969,2823.865754,2674.978282,2744.925417
20150708,0,2647.998673,3053.492205,2498.311804,2498.311804
20150709,0,2403.38355,2749.322094,2353.421311,2749.322094
20150710,0,2737.730854,3017.719242,2697.960912,2850.845363
20150713,0,2836.855937,2889.81591,2788.892187,2796.886145
20150714,0,2811.874817,2812.274515,2644.001694,2710.551396
20150715,0,2709.752,2731.935234,2621.019064,2705.95487
20150716,0,2692.165292,2782.297171,2665.185683,2758.515146
20150717,0,2780.888203,2866.444433,2751.264618,2801.603997
20150720,0,2802.018313,2828.741688,2709.625871,2753.129039
20150721,0,2746.579817,2774.209346,2685.794854,2728.160132
20150722,0,2722.020236,2724.066868,2651.616104,2693.981381
20150723,0,2688.250812,2826.398456,2683.748223,2809.820739
20150724,0,2807.569444,2818.621255,2703.600551,2728.364795
20150727,0,2722.634226,2723.043552,2459.232719,2491.774164
20150728,0,2467.214583,2545.395916,2435.696454,2478.880384
20150729,0,2507.942555,2544.986589,2458.00474,2536.186073
20150730,0,2536.390736,2545.191253,2415.025473,2466.600593
20150731,0,2468.851888,2527.59022,2418.300084,2468.442562
20150803,0,2453.911476,2465.577277,2401.722366,2461.279351
20150804,0,2446.134276,2566.066897,2446.134276,2541.507315
20150805,0,2543.963274,2545.600579,2479.494373,2505.895923
20150806,0,2486.657584,2542.735295,2460.870024,2496.481417
20150807,0,2487.6809,2578.55135,2487.6809,2522.268977
20150810,0,2529.841514,2668.807811,2529.841514,2635.447713
20150811,0,2645.476209,2655.095378,2608.227511,2622.144607
20150812,0,2613.548753,2649.364809,2588.989172,2607.408858
20150813,0,2614.776732,2642.201598,2569.136844,2612.730101
20150814,0,2617.84668,2634.219734,2589.193835,2608.636837
20150817,0,2605.976216,2605.976216,2524.724935,2560.950317
20150818,0,2568.522855,2590.831141,2346.463309,2458.618729
20150819,0,2437.538422,2496.890743,2372.046206,2446.748265
20150820,0,2445.911984,2445.911984,2363.956476,2386.536055
20150821,0,2366.047177,2401.170967,2289.318423,2325.278493
20150824,0,2294.127037,2294.127037,2096.137581,2096.137581
20150825,0,2049.305861,2093.001528,1891.876019,1891.876019
20150826,0,1937.871458,2045.124458,1861.769914,1912.573966
20150827,0,1954.806142,2135.651844,1954.806142,2126.452756
20150828,0,2161.576546,2199.418247,2100.946195,2167.01237
