stock_code,stock_name,train_annualized,test_annualized,total_return_pct,trades,win_rate,buy_hold_return_pct,date_start,date_end
603119,浙江荣泰,-17.5887,116.434,147.658,1,100,105.736,2024-05-17,2025-07-21
603091,众鑫股份,-18.2099,110.969,44.7661,1,100,45.9035,2025-01-20,2025-07-21
603173,福斯达,-31.4175,64.876,111.744,1,100,93.7209,2024-01-18,2025-07-21
603151,邦基科技,-16.7471,55.8739,110.892,1,100,62.6323,2023-11-17,2025-07-21
601127,赛力斯,-28.5428,52.4412,874.043,2,100,1228.72,2020-02-24,2025-07-21
600418,江淮汽车,-12.6093,43.1946,763.378,1,100,795.669,2019-07-18,2025-07-21
603072,天和磁材,0,41.4476,11.5361,1,100,26.2269,2025-03-26,2025-07-21
002052,同洲电子,-20.5594,39.9957,522.414,3,66.6667,292.657,2020-02-11,2025-07-21
600610,中毅达,15.9795,39.8184,419.716,2,100,192.418,2020-08-20,2025-07-21
002028,思源电气,-10.6633,38.0834,594.718,1,100,664.532,2019-07-17,2025-07-21
002487,大金重工,-14.954,35.0595,504.206,2,100,682.439,2019-07-25,2025-07-21
002245,蔚蓝锂芯,-12.5085,34.7491,497.406,2,100,262.85,2019-07-22,2025-07-21
002379,宏创控股,-3.25134,34.1303,370.395,1,100,312.104,2020-04-10,2025-07-21
002779,中坚科技,-22.0762,33.3115,411.321,1,100,392.131,2019-11-18,2025-07-21
002290,禾盛新材,-42.4981,32.6737,443.497,3,33.3333,545.175,2019-07-24,2025-07-21
603130,云中马,0,32.4435,57.4419,1,100,57.4419,2023-12-11,2025-07-21
002594,比亚迪,-21.3754,32.4401,440.696,2,100,507.045,2019-07-17,2025-07-21
002130,沃尔核材,-15.1745,30.3344,380.847,1,100,443.28,2019-08-16,2025-07-21
002472,双环传动,-33.7135,30.1397,386.678,3,66.6667,543.902,2019-07-17,2025-07-21
600415,小商品城,-13.0984,29.8746,380.753,2,100,410.758,2019-07-17,2025-07-21
