window,train_start,train_end,test_start,test_end,m_fast,m_slow,m_signal,buy_signal,sell_signal,w_confirm,trailing_stop,take_profit,max_positions,train_annualized,train_mdd,train_sharpe,train_calmar,train_trades,test_annualized,test_mdd,test_sharpe,test_calmar,test_trades,test_win_rate
W1,2019-01-02,2020-12-31,2021-01-04,2021-12-31,6,20,5,0,0,4,0,30,2,36.4609,3.7718,2.8521,9.6668,5,39.0503,6.3046,2.4430,6.1939,3,100.0000
W2,2020-01-02,2021-12-31,2022-01-04,2022-12-30,6,15,3,1,2,0,15.0000,50.0000,1,154.1005,16.2371,4.8203,9.4906,10,24.7112,29.0122,0.6523,0.8518,7,71.4286
W3,2021-01-04,2022-12-30,2023-01-03,2023-12-29,6,15,3,3,2,0,0.0000,30.0000,3,18.4617,2.3201,2.3471,7.9571,10,18.3201,2.7547,2.2583,6.6505,10,90.0000
W4,2022-01-04,2023-12-29,2024-01-02,2024-12-31,6,15,3,3,2,0,0.0000,0.0000,5,12.8744,1.5180,2.3580,8.4814,19,60.6789,6.5391,2.3734,9.2794,23,73.9130
W5,2023-01-03,2024-12-31,2025-01-02,2025-12-31,12,28,9,3,2,3,0.0000,0.0000,5,48.4027,3.5129,1.3016,13.7785,17,-0.5661,0.5460,-7.7568,-1.0369,1,0.0000
