stock_code,data_points,date_start,date_end,best_C,best_gamma,is_accuracy,is_precision,is_recall,oos_trades,oos_win_rate,oos_total_return_pct,oos_avg_return_pct,oos_max_drawdown_pct,oos_accuracy,oos_precision,oos_recall
000723,2282,2015-07-21,2025-07-21,10.0000,0.0500,88.39,78.76,89.12,99,40.40,-24.04,-0.24,54.84,60.34,22.38,53.64
000725,2430,2015-07-21,2025-07-21,1.0000,0.1000,81.36,55.76,92.02,66,45.45,-4.31,-0.07,24.25,67.90,9.35,33.77
000726,2430,2015-07-21,2025-07-21,1.0000,0.0001,91.17,12.50,22.64,30,56.67,27.76,0.93,23.40,84.32,20.88,20.00
000727,2363,2015-07-21,2025-07-21,100.0000,0.0100,86.04,62.44,88.18,84,45.24,35.55,0.42,39.94,71.02,26.61,35.37
000728,2404,2015-07-21,2025-07-21,100.0000,0.0100,86.57,60.80,81.06,66,46.97,10.18,0.15,22.28,68.20,8.80,15.97
000729,2430,2015-07-21,2025-07-21,10.0000,0.0500,94.84,76.24,99.57,93,45.16,77.01,0.83,44.97,61.55,25.96,38.03
000731,2430,2015-07-21,2025-07-21,10.0000,0.0050,73.45,37.88,74.12,74,35.14,-46.62,-0.63,57.00,71.82,27.63,47.02
000733,2409,2015-07-21,2025-07-21,1.0000,0.1000,85.39,72.69,83.99,120,40.83,-15.74,-0.13,43.71,58.55,31.39,54.89
000735,2422,2015-07-21,2025-07-21,1.0000,0.0500,78.60,52.59,77.68,53,37.74,-30.28,-0.57,41.71,73.01,22.98,22.16
000736,2344,2015-07-21,2025-07-21,100.0000,0.0100,82.55,61.25,84.97,120,38.33,-36.94,-0.31,58.17,46.04,28.49,30.27
000737,2396,2015-07-21,2025-07-21,100.0000,0.0100,79.50,60.97,85.47,90,36.67,7.86,0.09,42.73,58.43,31.25,29.82
000738,2426,2015-07-21,2025-07-21,1.0000,0.0500,80.18,52.87,75.41,88,32.95,-34.54,-0.39,47.71,66.49,22.32,27.81
000739,2430,2015-07-21,2025-07-21,100.0000,0.0100,81.78,61.11,91.19,110,37.27,-27.55,-0.25,52.99,57.31,23.43,48.44
000750,2392,2015-07-21,2025-07-21,10.0000,0.0500,93.90,74.16,96.51,52,46.15,6.35,0.12,20.87,73.52,13.54,24.53
000751,2408,2015-07-21,2025-07-21,100.0000,0.0100,86.59,61.20,90.39,91,51.65,82.19,0.90,44.74,60.15,18.81,34.48
000752,2364,2015-07-21,2025-07-21,10.0000,0.1000,97.97,93.37,98.83,92,46.74,71.33,0.78,43.26,61.44,24.42,21.81
000753,2405,2015-07-21,2025-07-21,1.0000,0.0500,84.37,41.83,90.12,91,48.35,69.71,0.77,33.22,56.32,23.43,26.17
000755,2174,2015-07-21,2025-07-21,100.0000,0.0100,87.72,69.65,91.93,71,53.52,61.44,0.87,24.20,66.98,23.23,41.55
000756,2368,2015-07-21,2025-07-21,10.0000,0.0500,89.04,67.52,96.01,94,38.30,-20.19,-0.21,57.99,56.30,30.07,29.86
000757,2158,2015-07-21,2025-07-21,1.0000,0.1000,90.58,73.12,87.97,75,48.00,5.16,0.07,45.55,60.41,31.53,28.11
000758,2420,2015-07-21,2025-07-21,100.0000,0.0050,76.81,53.85,76.29,95,44.21,28.11,0.30,35.01,54.47,14.91,37.42
000759,2430,2015-07-21,2025-07-21,10.0000,0.0500,94.92,79.64,98.13,76,53.95,152.03,2.00,21.58,58.16,26.72,25.64
000761,2423,2015-07-21,2025-07-21,100.0000,0.0100,85.12,61.56,89.91,103,37.86,-18.61,-0.18,65.34,54.99,21.56,40.49
000762,2430,2015-07-21,2025-07-21,1.0000,0.1000,85.52,75.52,80.71,105,40.00,-29.20,-0.28,70.04,68.01,36.54,49.77
000766,2103,2015-08-27,2025-07-21,100.0000,0.0100,85.56,69.78,89.66,91,45.05,37.57,0.41,36.15,51.72,30.12,25.51
000767,2428,2015-07-21,2025-07-21,10.0000,0.1000,98.51,90.14,100.00,52,46.15,41.38,0.80,38.42,72.14,34.85,20.63
000768,2425,2015-07-21,2025-07-21,10.0000,0.0500,92.22,75.00,97.45,98,42.86,-8.30,-0.08,43.20,63.91,27.42,40.00
000776,2430,2015-07-21,2025-07-21,100.0000,0.0100,84.46,51.65,87.12,75,42.67,-17.83,-0.24,39.77,63.45,18.54,36.13
000777,2415,2015-07-21,2025-07-21,0.1000,0.0500,72.07,35.98,61.28,97,48.45,35.71,0.37,40.79,58.85,31.81,47.01
000778,2392,2015-09-15,2025-07-21,1.0000,0.0500,83.85,43.90,82.51,67,41.79,0.05,0.00,25.37,73.09,15.45,34.69
000779,2253,2015-07-21,2025-07-21,1.0000,0.1000,91.83,78.91,83.75,85,50.59,177.50,2.09,30.40,63.39,39.53,38.35
000782,2359,2015-09-24,2025-07-21,10.0000,0.0050,73.05,43.84,64.86,68,38.24,-36.61,-0.54,45.03,61.24,17.24,30.30
000783,2430,2015-07-21,2025-07-21,100.0000,0.0100,87.78,59.72,88.48,60,43.33,10.20,0.17,21.36,74.36,16.23,27.43
000785,2419,2015-07-21,2025-07-21,10.0000,0.0100,83.61,59.73,61.59,59,44.07,34.17,0.58,27.76,76.70,31.94,40.67
000786,2361,2015-10-26,2025-07-21,10.0000,0.0500,92.14,83.40,94.34,94,41.49,18.85,0.20,27.48,61.83,20.14,30.43
000788,2430,2015-07-21,2025-07-21,100.0000,0.0050,81.00,53.15,77.03,80,50.00,79.15,0.99,32.54,66.21,21.92,32.95
000789,2430,2015-07-21,2025-07-21,10.0000,0.0500,89.62,75.25,94.25,87,44.83,-32.55,-0.37,53.26,55.08,9.51,33.94
000790,2338,2015-07-21,2025-07-21,1.0000,0.1000,85.96,69.46,84.57,99,41.41,-48.56,-0.49,54.24,64.54,28.05,44.97
000791,2421,2015-07-21,2025-07-21,100.0000,0.0100,85.46,63.93,85.63,96,44.79,-5.47,-0.06,41.43,63.44,24.44,41.08
000792,2111,2015-07-21,2025-07-21,100.0000,0.0100,75.98,56.10,83.29,56,33.93,-26.15,-0.47,43.90,76.38,22.81,39.00
000793,2283,2015-08-31,2025-07-21,10.0000,0.1000,96.99,90.66,98.21,85,49.41,129.05,1.52,39.93,60.16,30.73,22.99
000795,2354,2015-07-21,2025-07-21,1.0000,0.1000,84.31,64.66,85.47,98,45.92,40.04,0.41,36.81,66.85,36.36,39.32
