code,name,trades,wins,win_rate,annualized
000612,焦作万方,10,3,30.00,-1.05
000615,*ST美谷,4,1,25.00,-18.42
000617,中油资本,5,1,20.00,-1.59
000619,海螺新材,16,4,25.00,-7.69
000620,盈新发展,5,0,0.00,-16.81
000622,恒立退,6,2,33.33,-1.26
000623,吉林敖东,7,2,28.57,-2.46
000625,长安汽车,8,4,50.00,11.28
000626,远大控股,8,1,12.50,-23.85
000628,高新发展,19,8,42.11,20.81
000629,钒钛股份,9,3,33.33,20.59
000630,铜陵有色,17,4,23.53,-10.32
000631,顺发恒业,13,2,15.38,-10.36
000632,三木集团,10,3,30.00,-4.17
000633,合金投资,16,5,31.25,-5.62
000635,英 力 特,13,3,23.08,-22.38
000636,风华高科,9,2,22.22,9.15
000637,茂化实华,7,4,57.14,7.30
000638,*ST万方,12,1,8.33,-26.70
000639,西王食品,4,2,50.00,-0.51
000650,仁和药业,5,0,0.00,-14.59
000651,格力电器,7,3,42.86,-2.97
000652,泰达股份,6,1,16.67,-10.06
000655,金岭矿业,14,4,28.57,-3.32
000656,*ST金科,7,1,14.29,-23.60
000657,中钨高新,14,5,35.71,4.95
000659,珠海中富,9,1,11.11,-7.46
000661,长春高新,9,2,22.22,-27.32
000663,永安林业,11,2,18.18,-2.26
000665,湖北广电,13,2,15.38,-15.50
000668,*ST荣控,5,1,20.00,-25.85
000669,ST金鸿,2,1,50.00,19.01
000670,盈方微,8,2,25.00,-8.12
000672,上峰水泥,9,4,44.44,-0.63
000676,智度股份,9,3,33.33,-4.92
000677,恒天海龙,7,2,28.57,-2.94
000678,襄阳轴承,12,4,33.33,-0.80
000679,大连友谊,16,5,31.25,-6.38
000680,山推股份,25,7,28.00,-0.02
000681,视觉中国,12,2,16.67,-13.21
000682,东方电子,14,7,50.00,17.29
000683,博源化工,9,4,44.44,75.99
000685,中山公用,13,3,23.08,-5.23
000686,东北证券,9,1,11.11,-5.16
000688,国城矿业,8,5,62.50,4.96
000690,宝新能源,6,1,16.67,-16.28
000691,*ST亚太,12,4,33.33,-9.26
000692,惠天热电,14,6,42.86,-0.71
000695,滨海能源,12,4,33.33,-2.30
000697,ST炼石,5,1,20.00,-29.94
000698,沈阳化工,6,2,33.33,-0.69
000700,模塑科技,19,5,26.32,5.96
000701,厦门信达,10,1,10.00,-23.87
000702,正虹科技,9,3,33.33,-1.32
000703,恒逸石化,5,0,0.00,-20.67
000705,浙江震元,22,7,31.82,-2.58
000707,双环科技,11,4,36.36,26.04
000708,中信特钢,8,3,37.50,-9.08
000709,河钢股份,4,3,75.00,1.00
000710,贝瑞基因,7,2,28.57,-3.15
000711,*ST京蓝,2,0,0.00,-9.39
000712,锦龙股份,13,3,23.08,-13.53
000713,丰乐种业,3,1,33.33,18.26
000715,中兴商业,11,2,18.18,-13.80
000716,黑芝麻,13,4,30.77,5.18
000717,中南股份,10,6,60.00,8.64
000718,苏宁环球,3,1,33.33,20.45
000719,中原传媒,18,8,44.44,-2.44
000720,新能泰山,10,5,50.00,-5.39
000721,西安饮食,18,3,16.67,-2.66
000722,湖南发展,13,3,23.08,-5.94
000723,美锦能源,7,4,57.14,13.61
000725,京东方Ａ,10,2,20.00,-5.66
000726,鲁  泰Ａ,5,1,20.00,-7.75
000727,冠捷科技,9,3,33.33,-0.75
000728,国元证券,3,1,33.33,-2.69
000729,燕京啤酒,23,6,26.09,-11.82
000731,四川美丰,10,3,30.00,-4.04
000733,振华科技,12,6,50.00,47.12
000735,罗 牛 山,12,3,25.00,-8.65
000736,*ST中地,17,2,11.76,-14.44
000737,北方铜业,15,5,33.33,-10.76
000738,航发控制,11,5,45.45,5.38
000739,普洛药业,14,4,28.57,3.27
000750,国海证券,6,1,16.67,-5.80
000751,锌业股份,11,3,27.27,-10.49
000752,ST西发,9,4,44.44,-7.77
000753,漳州发展,16,5,31.25,-11.49
000755,山西高速,14,3,21.43,-6.01
000756,新华制药,12,7,58.33,28.29
000757,浩物股份,10,4,40.00,5.10
000758,中色股份,12,3,25.00,-9.56
000759,中百集团,1,1,100.00,8.59
000761,本钢板材,13,2,15.38,-12.52
000762,西藏矿业,11,4,36.36,34.57
000766,通化金马,19,7,36.84,8.55
000767,晋控电力,13,4,30.77,-4.21
000768,中航西飞,14,6,42.86,1.66
000776,广发证券,15,5,33.33,2.75
000777,中核科技,14,4,28.57,0.39
000778,新兴铸管,7,2,28.57,-1.63
000779,甘咨询,15,3,20.00,-16.08
000782,恒申新材,15,5,33.33,6.19
000783,长江证券,4,2,50.00,0.36
000785,居然智家,4,1,25.00,-3.87
000786,北新建材,16,5,31.25,-1.10
000788,北大医药,13,4,30.77,-0.21
000789,万年青,7,2,28.57,-3.22
000790,华神科技,10,3,30.00,-4.99
000791,甘肃能源,14,8,57.14,6.40
000792,盐湖股份,14,3,21.43,-11.36
000793,ST华闻,7,2,28.57,-4.07
000795,英洛华,9,5,55.56,9.74
000796,凯撒旅业,4,1,25.00,0.71
000797,中国武夷,3,1,33.33,-0.38
000798,中水渔业,19,4,21.05,-12.99
000799,酒鬼酒,10,4,40.00,15.03
000800,一汽解放,12,2,16.67,-11.64
000801,四川九洲,21,10,47.62,5.36
000802,北京文化,5,1,20.00,-3.24
000803,山高环能,8,3,37.50,-13.20
000807,云铝股份,16,11,68.75,16.99
000809,和展能源,9,2,22.22,-6.57
000810,创维数字,14,6,42.86,-7.94
000811,冰轮环境,13,6,46.15,12.51
000812,陕西金叶,13,5,38.46,21.24
000813,德展健康,5,1,20.00,-5.34
000815,美利云,9,2,22.22,16.02
000816,智慧农业,12,5,41.67,15.39
000818,航锦科技,13,1,7.69,-25.95
000819,岳阳兴长,8,3,37.50,47.18
000820,*ST节能,14,0,0.00,-37.17
000821,京山轻机,13,5,38.46,40.07
000822,山东海化,8,3,37.50,29.83
000823,超声电子,12,3,25.00,-10.19
000825,太钢不锈,8,3,37.50,2.55
000826,启迪环境,1,0,0.00,0.00
000828,东莞控股,18,3,16.67,-10.70
000829,天音控股,12,2,16.67,-7.45
000830,鲁西化工,8,2,25.00,-6.09
000831,中国稀土,17,7,41.18,10.08
000833,粤桂股份,11,4,36.36,-8.80
000837,秦川机床,13,7,53.85,15.18
000838,财信发展,10,3,30.00,10.13
000839,中信国安,6,3,50.00,5.84
000848,承德露露,7,1,14.29,-10.36
000850,华茂股份,16,2,12.50,-9.95
000851,*ST高鸿,11,4,36.36,-5.46
