date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2015-07-21,000883,8.0,8.12,8.36,7.8,1313091,1064333984.0,6.86,-0.49,-0.04,2.46
2015-07-22,000883,8.11,8.13,8.25,7.82,1286819,1037153312.0,5.3,0.12,0.01,2.41
2015-07-23,000883,8.12,8.32,8.45,8.02,1503061,1238600272.0,5.29,2.34,0.19,2.81
2015-07-24,000883,8.42,8.48,9.0,8.31,2077750,1793771376.0,8.29,1.92,0.16,3.89
2015-07-27,000883,8.19,7.63,8.62,7.63,1836221,1493498896.0,11.67,-10.02,-0.85,3.43
2015-07-28,000883,7.05,7.19,7.77,6.87,1577965,1130288400.0,11.8,-5.77,-0.44,2.95
2015-07-29,000883,7.36,7.79,7.86,7.05,1173986,865888672.0,11.27,8.34,0.6,2.2
2015-07-30,000883,7.8,7.51,8.13,7.44,1358217,1072423856.0,8.86,-3.59,-0.28,2.54
2015-07-31,000883,7.4,7.45,7.77,7.35,902646,682086240.0,5.59,-0.8,-0.06,1.69
2015-08-03,000883,7.39,6.97,7.49,6.86,810927,577498336.0,8.46,-6.44,-0.48,1.52
2015-08-04,000883,7.06,7.6,7.61,7.06,1013369,740953520.0,7.89,9.04,0.63,1.9
2015-08-05,000883,7.6,7.57,7.86,7.4,1177360,899555840.0,6.05,-0.39,-0.03,2.2
2015-08-06,000883,7.38,7.56,7.74,7.3,717486,540481728.0,5.81,-0.13,-0.01,1.34
2015-08-07,000883,7.65,7.76,7.85,7.63,894920,693964544.0,2.91,2.65,0.2,1.67
2015-08-10,000883,7.91,8.21,8.37,7.82,1404463,1135733664.0,7.09,5.8,0.45,2.63
2015-08-11,000883,8.2,8.08,8.27,8.02,1267777,1032513312.0,3.05,-1.58,-0.13,2.37
2015-08-12,000883,8.01,7.81,8.11,7.8,834917,663738368.0,3.84,-3.34,-0.27,1.56
2015-08-13,000883,7.81,8.07,8.08,7.77,833834,662658368.0,3.97,3.33,0.26,1.56
2015-08-14,000883,8.36,8.03,8.36,8.03,1090818,890996128.0,4.09,-0.5,-0.04,2.04
2015-08-17,000883,8.0,8.83,8.83,7.9,2139882,1833340736.0,11.58,9.96,0.8,4.0
2015-08-18,000883,8.9,7.95,8.97,7.95,2257464,1918604224.0,11.55,-9.97,-0.88,4.22
2015-08-19,000883,7.59,8.24,8.31,7.36,1430295,1123329648.0,11.95,3.65,0.29,2.68
