stock_code,stock_name,data_points,date_start,date_end,length0,p1,p2,p3,in_sample_return_pct,out_of_sample_return_pct,full_return_pct
002550,千红制药,2430,2015-07-21,2025-07-21,5,4,6,5,-15.12,126.41,110.1
603118,共进股份,2419,2015-07-21,2025-07-21,6,11,8,5,104.11,126.05,226.32
600331,宏达股份,2334,2015-07-21,2025-07-21,3,3,7,4,119.46,126.03,216.09
000564,供销大集,2245,2015-08-05,2025-07-21,3,7,3,3,213.95,125.55,277.3
002664,信质集团,2268,2015-07-21,2025-07-21,5,2,8,6,61.37,124.78,182.29
002235,安妮股份,2307,2016-01-12,2025-07-21,3,3,13,13,25.93,124.26,144.95
000158,常山北明,2420,2015-07-21,2025-07-18,3,2,4,15,131.72,122.2,253.93
600835,上海机电,2430,2015-07-21,2025-07-21,3,9,5,4,15.57,122.17,135.38
002343,慈文传媒,2352,2015-07-21,2025-07-21,5,15,7,15,-22.59,122.09,98.65
000056,皇庭国际,2320,2015-07-21,2025-07-18,3,3,10,15,-25.58,121.64,91.37
000537,中绿电,2356,2015-07-21,2025-07-18,4,5,3,14,65.34,121.27,183.61
002436,兴森科技,2306,2015-10-15,2025-07-21,7,2,15,15,82.4,120.78,196.41
002755,奥赛康,2394,2015-07-21,2025-07-21,3,2,4,13,14.75,120.42,129.8
603019,中科曙光,2417,2015-07-21,2025-07-21,9,14,7,4,50.1,120.35,169.02
603117,万林物流,2414,2015-07-21,2025-07-21,4,2,3,9,28.71,120.31,149.02
002765,蓝黛科技,2377,2015-07-21,2025-07-21,5,3,10,5,64.19,119.64,174.77
