stock_code,daily_bars,monthly_bars,date_start,date_end,total_trades,winning_trades,win_rate,total_return_pct,avg_return_pct,max_return_pct,min_return_pct,buy_hold_return_pct
002106,2351,117,2015-11-18,2025-07-21,2,1,50.00,5.70,2.85,17.06,-11.36,-29.74
002107,2430,121,2015-07-21,2025-07-21,1,0,0.00,-53.22,-53.22,-53.22,-53.22,-79.15
002108,2429,121,2015-07-21,2025-07-21,2,1,50.00,-4.73,-2.36,6.16,-10.89,-70.16
002109,2302,115,2016-01-04,2025-07-21,2,2,100.00,55.25,27.62,43.83,11.42,-61.55
002110,2227,115,2015-09-07,2025-07-21,1,0,0.00,-36.12,-36.12,-36.12,-36.12,-47.86
002111,2382,120,2015-07-21,2025-07-21,2,0,0.00,-61.23,-30.62,-3.84,-57.40,-64.40
002112,2164,109,2016-06-15,2025-07-21,1,0,0.00,-59.97,-59.97,-59.97,-59.97,-35.33
002114,2426,121,2015-07-21,2025-07-21,1,0,0.00,-20.46,-20.46,-20.46,-20.46,-46.47
002115,2267,117,2015-07-21,2025-07-21,2,1,50.00,-37.82,-18.91,28.23,-66.05,-32.76
002116,2427,121,2015-07-24,2025-07-21,1,0,0.00,-31.59,-31.59,-31.59,-31.59,-49.83
002117,2420,121,2015-07-21,2025-07-21,1,0,0.00,-12.32,-12.32,-12.32,-12.32,-63.79
002119,2426,121,2015-07-21,2025-07-21,2,1,50.00,-29.30,-14.65,12.92,-42.22,-31.65
002120,2386,120,2015-07-21,2025-07-21,1,0,0.00,-64.65,-64.65,-64.65,-64.65,-63.61
002121,2279,118,2015-07-21,2025-07-21,2,1,50.00,-42.48,-21.24,32.17,-74.64,-79.32
002122,2259,115,2015-07-21,2025-07-21,2,1,50.00,75.50,37.75,84.21,-8.71,-54.35
002123,2371,121,2015-07-21,2025-07-21,2,1,50.00,-26.73,-13.36,3.38,-30.11,-11.08
002124,2405,121,2015-07-21,2025-07-21,2,1,50.00,-51.00,-25.50,8.47,-59.47,-86.24
002125,2421,121,2015-07-21,2025-07-21,2,2,100.00,100.20,50.10,81.45,18.75,-12.98
002126,2402,121,2015-07-21,2025-07-21,1,0,0.00,-44.70,-44.70,-44.70,-44.70,63.79
002127,2305,116,2015-09-10,2025-07-21,2,0,0.00,-33.77,-16.88,-12.77,-21.00,-66.25
002128,2304,117,2015-07-21,2025-07-21,2,1,50.00,44.43,22.21,45.93,-1.51,55.43
002129,2023,103,2015-07-21,2025-07-21,2,1,50.00,233.23,116.61,237.63,-4.40,-51.88
002130,2392,120,2015-08-11,2025-07-21,1,1,100.00,50.98,50.98,50.98,50.98,27.75
002131,2349,119,2015-07-22,2025-07-21,1,0,0.00,-77.67,-77.67,-77.67,-77.67,-93.34
002132,2350,118,2015-07-31,2025-07-21,2,1,50.00,6.91,3.46,38.06,-31.15,-55.81
002133,2430,121,2015-07-21,2025-07-21,2,1,50.00,-40.02,-20.01,15.64,-55.66,-60.15
002134,2292,117,2015-07-21,2025-07-21,2,1,50.00,-13.53,-6.77,5.46,-18.99,95.16
002135,2421,121,2015-07-21,2025-07-21,2,0,0.00,-34.47,-17.23,-4.08,-30.39,-58.61
002136,2428,121,2015-07-21,2025-07-21,2,2,100.00,45.62,22.81,45.16,0.46,-3.78
002137,2351,117,2015-11-16,2025-07-21,2,1,50.00,-32.53,-16.27,28.17,-60.71,-27.35
002138,2430,121,2015-07-21,2025-07-21,3,2,66.67,23.50,7.83,28.07,-9.24,106.88
002139,2427,121,2015-07-21,2025-07-21,2,1,50.00,20.55,10.27,36.99,-16.45,-29.25
002140,2415,121,2015-07-21,2025-07-21,2,0,0.00,-36.36,-18.18,-7.59,-28.77,-57.28
002141,2307,116,2015-07-21,2025-07-21,2,2,100.00,134.52,67.26,121.39,13.13,-81.24
002142,2423,121,2015-07-21,2025-07-21,2,1,50.00,7.67,3.83,11.06,-3.40,79.25
002144,2430,121,2015-07-21,2025-07-21,2,1,50.00,-61.09,-30.55,6.99,-68.08,-56.59
002145,2392,120,2015-08-06,2025-07-21,2,1,50.00,57.69,28.84,67.58,-9.89,-71.29
002146,2420,121,2015-07-21,2025-07-21,2,1,50.00,-70.35,-35.18,12.10,-82.45,-85.69
002148,2430,121,2015-07-21,2025-07-21,3,1,33.33,-40.12,-13.37,21.11,-45.00,-61.91
002149,2407,121,2015-07-21,2025-07-21,2,2,100.00,81.30,40.65,71.17,10.13,-2.82
002150,2355,119,2015-07-21,2025-07-21,1,1,100.00,86.46,86.46,86.46,86.46,4.09
002151,2354,120,2015-07-29,2025-07-21,2,1,50.00,33.82,16.91,46.80,-12.98,-24.71
002152,2421,121,2015-07-21,2025-07-21,2,1,50.00,16.48,8.24,28.19,-11.70,-61.76
002153,2417,121,2015-07-21,2025-07-21,1,0,0.00,-91.44,-91.44,-91.44,-91.44,-90.82
