rank,stock_code,stock_name,total_trades,winning_trades,win_rate,total_return_pct,avg_return_pct,max_return_pct,min_return_pct,buy_hold_return_pct,date_start,date_end
67,600183,生益科技,2,2,100.00,194.80,97.40,104.25,90.55,337.67,2015-07-21,2025-07-21
68,601899,紫金矿业,2,2,100.00,193.18,96.59,183.43,9.76,358.10,2015-07-21,2025-07-21
69,002529,*ST海源,2,1,50.00,190.01,95.01,212.50,-22.49,-63.20,2015-07-21,2025-07-21
70,002182,宝武镁业,3,2,66.67,189.53,63.18,141.92,-0.65,-7.88,2015-07-21,2025-07-21
71,002080,中材科技,2,2,100.00,188.01,94.00,108.51,79.50,29.35,2015-09-01,2025-07-21
72,603063,禾望电气,2,2,100.00,187.61,93.81,179.18,8.44,92.39,2017-07-28,2025-07-21
73,000301,东方盛虹,3,1,33.33,186.77,62.26,207.51,-12.91,29.23,2015-07-21,2025-07-18
74,601066,中信建投,2,1,50.00,186.50,93.25,189.98,-3.48,296.46,2018-06-20,2025-07-21
75,000422,湖北宜化,2,2,100.00,183.51,91.75,171.95,11.56,64.94,2015-07-21,2025-07-18
76,600111,北方稀土,3,2,66.67,183.49,61.16,137.62,-14.01,116.07,2015-07-21,2025-07-21
77,600110,诺德股份,3,3,100.00,181.89,60.63,150.33,7.88,-54.37,2015-12-15,2025-07-21
78,002625,光启技术,2,2,100.00,180.99,90.50,119.03,61.97,-25.94,2015-08-07,2025-07-21
79,002906,华阳集团,2,2,100.00,179.26,89.63,174.52,4.74,88.19,2017-10-13,2025-07-21
80,601127,赛力斯,1,1,100.00,178.93,178.93,178.93,178.93,1758.68,2016-06-15,2025-07-21
81,600143,金发科技,2,2,100.00,176.40,88.20,118.17,58.23,13.30,2015-07-21,2025-07-21
82,000876,新 希 望,2,1,50.00,175.29,87.64,212.89,-37.60,-52.61,2015-07-21,2025-07-21
83,000683,博源化工,1,1,100.00,175.19,175.19,175.19,175.19,-48.12,2015-08-18,2025-07-21
84,002827,高争民爆,1,1,100.00,172.12,172.12,172.12,172.12,329.66,2016-12-09,2025-07-21
85,002611,东方精工,2,1,50.00,172.11,86.06,180.69,-8.58,-4.08,2015-07-21,2025-07-21
86,002052,同洲电子,1,1,100.00,171.91,171.91,171.91,171.91,-9.29,2015-11-05,2025-07-21
87,600966,博汇纸业,3,2,66.67,171.48,57.16,160.51,-27.85,-21.00,2015-07-21,2025-07-21
88,600084,中信尼雅,2,1,50.00,170.05,85.03,201.95,-31.89,-37.90,2015-07-21,2025-07-21
89,002074,国轩高科,2,2,100.00,165.44,82.72,142.62,22.83,74.16,2015-07-21,2025-07-21
90,000009,中国宝安,1,1,100.00,164.16,164.16,164.16,164.16,-25.11,2015-08-18,2025-07-18
91,002409,雅克科技,2,1,50.00,161.11,80.55,167.18,-6.07,126.95,2016-02-29,2025-07-21
92,002738,中矿资源,2,1,50.00,160.28,80.14,169.22,-8.94,-8.92,2015-07-22,2025-07-21
93,000678,襄阳轴承,2,1,50.00,159.99,79.99,185.33,-25.34,107.77,2015-07-21,2025-07-21
94,601666,平煤股份,2,1,50.00,159.37,79.68,161.23,-1.86,33.89,2015-07-21,2025-07-21
95,601858,中国科传,1,1,100.00,158.65,158.65,158.65,158.65,101.62,2017-01-18,2025-07-21
96,002104,恒宝股份,2,1,50.00,158.46,79.23,178.30,-19.84,-2.53,2015-07-21,2025-07-21
97,002612,朗姿股份,2,2,100.00,157.99,78.99,154.76,3.23,-66.27,2015-07-21,2025-07-21
98,002600,领益智造,2,2,100.00,154.88,77.44,84.81,70.07,12.82,2015-07-21,2025-07-21
99,002597,金禾实业,3,3,100.00,152.97,50.99,95.80,11.17,87.55,2015-07-21,2025-07-21
100,600039,四川路桥,2,2,100.00,150.59,75.30,139.64,10.96,46.35,2015-07-21,2025-07-21
