stock_code,stock_name,train_annualized,test_annualized,total_return_pct,trades,win_rate,buy_hold_return_pct,date_start,date_end,timeframe,fast,slow,signal,buy_mode,sell_mode,trailing_stop,take_profit,cooldown
002623,亚玛顿,-6.57233,-8.85962,-42.6927,3,33.3333,54.4898,2019-07-19,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600325,华发股份,-22.4866,-8.86514,-42.6698,2,0,-42.8066,2019-07-22,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002753,永东股份,-34.99,-8.92157,-42.9553,4,0,-16.7239,2019-07-17,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002825,纳尔股份,-29.9448,-8.95553,-38.6181,2,0,-26.385,2020-05-06,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002507,涪陵榨菜,6.6673,-8.97064,-41.4017,2,50,-47.5212,2019-11-14,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
601216,君正集团,-27.6294,-8.99387,-42.1472,3,33.3333,84.1584,2019-09-30,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600965,福成股份,-6.66798,-9.03656,-43.3865,3,33.3333,-50.0491,2019-07-17,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600665,天地源,-15.6741,-9.05064,-43.3215,3,0,-12.2762,2019-07-25,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600261,阳光照明,-14.6787,-9.10531,-43.6431,3,0,-18.0952,2019-07-17,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002723,小崧股份,-13.6896,-9.11192,-42.6267,3,33.3333,-21.4435,2019-09-27,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600622,光大嘉宝,-15.4871,-9.11967,-43.6966,2,0,-34.3158,2019-07-17,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600361,创新新材,-16.4385,-9.12918,-43.8351,3,0,4.26065,2019-07-10,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600892,*ST大晟,-38.8547,-9.14906,-43.1077,3,33.3333,-38.5356,2019-09-04,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
000006,深振业Ａ,-17.1362,-9.18557,-42.3517,4,25,21.0832,2019-10-30,2025-07-18,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002506,协鑫集成,-0.159868,-9.21421,-43.6313,2,0,-54.876,2019-08-15,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
000609,ST中迪,-11.2412,-9.23713,-43.6259,3,33.3333,-28.5714,2019-08-21,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002975,博杰股份,-44.5768,-9.31548,-27.3794,2,50,-16.8386,2022-04-11,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002789,*ST建艺,-4.59509,-9.32062,-42.3943,3,0,-50.9605,2019-12-02,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002717,ST岭南,-25.6001,-9.3265,-43.1972,3,0,-62.3679,2019-10-11,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002635,安洁科技,-1.76377,-9.33575,-43.7009,3,0,-7.82313,2019-09-10,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
601566,九牧王,-13.7436,-9.33861,-44.5064,5,20,-26.601,2019-07-17,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
